district_id,district_code,district_name_en,province_id,is_active,district_name_np
1,TPL,Taplejung,1,Y,ताप्लेजुङ
2,PNC,Panchthar,1,Y,पाँचथर
3,ILM,Ilam,1,Y,ईलाम 
4,JHP,Jhapa,1,Y,झापा
5,MRG,Morang,1,Y,मोरङ
6,SNS,Sunasari,1,Y,सुनसरी
7,DNK,Dhankuta,1,Y,धनकुटा 
8,TRH,Terhathum,1,Y,तेर्‍हथुम
9,SKS,Sankhuwasabha,1,Y,सङ्खुवासभा 
10,BJP,Bhojpur,1,Y,भोजपुर 
11,SLK,Solukhumbu,1,Y,सोलुखुम्बु
12,OKH,Okhaldhunga,1,Y,ओखलढुङ्गा
13,KHT,Khotang,1,Y,खोटाङ
14,UDP,Udayapur,1,Y,उदयपुर
15,SPT,Saptari,2,Y,सप्तरी 
16,SRH,Siraha,2,Y,सिरहा
17,DHS,Dhanusha,2,Y,धनुषा
18,MHT,Mahottari,2,Y,महोत्तरी 
19,SRL,Sarlahi,2,Y,सर्लाही 
20,RTH,Rautahat,2,Y,रौतहट
21,BRA,Bara,2,Y,बारा
22,PRS,Parsa,2,Y,पर्सा 
23,SDL,Sindhuli,3,Y,सिन्धुली
24,RMC,Ramechhap,3,Y,रामेछाप 
25,DLK,Dolakha,3,Y,दोलखा
26,SPC,Sindhupalchowk,3,Y,सिन्धुपाल्चोक
27,KVP,Kavrepalanchowk,3,Y,काभ्रेपलान्चोक
28,LTP,Lalitpur,3,Y,ललितपुर 
29,BKP,Bhaktapur,3,Y,भक्तपुर 
30,KTM,Kathmandu,3,Y,काठमाडौं 
31,NWK,Nuwakot,3,Y,नुवाकोट 
32,RSW,Rasuwa,3,Y,रसुवा 
33,DHD,Dhading,3,Y,धादिङ 
34,MKP,Makwanpur,3,Y,मकवानपुर 
35,CTW,Chitwan,3,Y,चितवन
36,GRK,Gorkha,4,Y,गोर्खा
37,LMJ,Lamjung,4,Y,लम्जुङ
38,TNH,Tanahun,4,Y,तनहुँ
39,SYJ,Syangja,4,Y,स्याङ्जा
40,KSK,Kaski,4,Y,कास्की 
41,MNG,Manang,4,Y,मनाङ
42,MST,Mustang,4,Y,मुस्ताङ
43,MYG,Myagdi,4,Y,म्याग्दी
44,PRB,Parbat,4,Y,पर्वत
45,BGL,Baglung,4,Y,बाग्लुङ 
46,NPE,Nawalparasi East,4,Y,पूर्व नवलपरासी
47,GLM,Gulmi,5,Y,गुल्मी
48,PLP,Palpa,5,Y,पाल्पा
49,RPD,Rupandehi,5,Y,रुपन्देही
50,KPB,Kapilbastu,5,Y,कपिलवस्तु 
51,AGK,Arghakhanchi,5,Y,अर्घाखाँची 
52,PYT,Pyuthan,5,Y,प्युठान 
53,RLP,Rolpa,5,Y,रोल्पा
54,RKE,Rukum East,5,Y,पूर्व रुकुम
55,DNG,Dang,5,Y,दाङ
56,BNK,Banke,5,Y,बाँके
57,BRD,Bardiya,5,Y,बर्दिया
58,SLY,Salyan,6,Y,सल्यान
59,SRK,Surkhet,6,Y,सुर्खेत 
60,DLH,Dailekh,6,Y,दैलेख
61,JJK,Jajarkot,6,Y,जाजरकोट 
62,DLP,Dolpa,6,Y,डोल्पा
63,JML,Jumla,6,Y,जुम्ला
64,KLT,Kalikot,6,Y,कालिकोट
65,MGU,Mugu,6,Y,मुगु
66,HML,Humla,6,Y,हुम्ला 
67,BJR,Bajura,7,Y,बाजुरा
68,BJH,Bajhang,7,Y,बझाङ 
69,ACH,Achham,7,Y,अछाम
70,DTI,Doti,7,Y,डोटी
71,KLL,Kailali,7,Y,कैलाली
72,KCP,Kanchanpur,7,Y,कन्चनपुर
73,DDL,Dadeldhura,7,Y,डडेलधुरा
74,BTD,Baitadi,7,Y,बैतडी
75,DCH,Darchula,7,Y,दार्चुला
76,NPW,Nawalparasi West,5,Y,पश्चिम नवलपरासी
77,RKW,Rukum West,6,Y,पश्चिम रुकुम
