municipality_id,municipality_code,municipality_name_en,municipality_name_np,district_id,is_active
251,AAD,AADARSH KOTWAL,आदर्श कोटवाल,21,Y
705,AAA,AADARSHA,आदर्श,70,Y
732,AAL,AALITAAL,आलिताल,73,Y
362,AAM,AAMA CHHODINGMO,आमाछोदिङमो,32,Y
105,AAC,AAMCHOWK,आमचोक,10,Y
418,AAN,AANBU KHAIRENI,आँबुखैरेनी,38,Y
430,AAH,AANDHI KHOLA,आँधिखोला,39,Y
400,AAR,AARUGHAT,आरूघाट,36,Y
617,AAT,AATHABIS,आठबीस,60,Y
2,AAI,AATHARAI TRIBENI,आठराई त्रिवेणी,1,Y
562,AAB,AATHBISKOT,आठबिसकोट,77,Y
84,AAZ,AATHRAI,आठराई ,8,Y
666,ADA,ADANCHULI,अदानचुली,66,Y
149,AGN,AGNISAIR KRISHNASAWARAN,अग्निसाइर कृष्णासरवन,15,Y
549,AIR,AIRAWATI,ऐरावती,52,Y
125,AIS,AISELUKHARKA,ऐसेलुखर्क ,13,Y
735,AJA,AJAYAMERU,अजयमेरु,73,Y
399,AJI,AJIRKOT,अजिरकोट,36,Y
730,AMA,AMARGADHI,अमरगढी,73,Y
173,ANA,ANARMA,अर्नमा,16,Y
436,ANN,ANNAPURNA,अन्नपूर्ण,40,Y
450,ANP,ANNAPURNA,अन्नपुर्ण,43,Y
750,API,API HIMAL,अपिहिमाल,75,Y
429,ARJ,ARJUN CHAUPARI,अर्जुनचौपारी,39,Y
32,ARU,ARJUNDHARA,अर्जुनधारा,4,Y
102,ARN,ARUN,अरुण,10,Y
165,AUR,AURAHI,औरही,16,Y
191,AUA,AURAHI,औरही,17,Y
206,AUH,AURAHI,औरही,18,Y
578,BAB,BABAI,बबई,55,Y
593,BAD,BADHAIYATAL,बढैयाताल,57,Y
471,BAI,BADIGAD,वडिगाड,45,Y
702,BAK,BADIKEDAR,बडीकेदार,70,Y
668,BAM,BADIMALIKA,बडीमालिका,67,Y
596,BAG,BAGCHAUR,बागचौर,58,Y
462,BAL,BAGLUNG,बागलुङ,45,Y
221,BAA,BAGMATI,बागमती,19,Y
329,BAT,BAGMATI,बागमती,28,Y
381,BAU,BAGMATI,बाग्मति,34,Y
506,BAN,BAGNASKALI,बगनासकाली,48,Y
38,BAH,BAHRADASHI,बाह्रदशी,4,Y
268,BAR,BAHUDARMAI,बहुदरमाई,22,Y
583,BAJ,BAIJANATH,बैजनाथ,56,Y
298,BAE,BAITESHWOR,वैतेश्वर,25,Y
